Day_month,Year,State,LGA,OCV_delivered,,,,,,
18 Sep,2017,Borno,,"811,959",,,,,,
22 Sep,2017,Borno,,"915,005",,,,,,
8 Oct,2017,Borno,,"844,305",,,,,,
8 Oct,2017,Borno,Mafa,"24,625",,,,,,
12 Nov,2017,Borno,,"896,919",,,,,,
3 Dec,2017,Borno,,"560,267",,,,,,
24 Dec,2017,Borno,,"1,800,000",,,,,,
21 Aug,2017,Borno,Jere,"891,137",,,,,,
6 May,2018,Yobe,Bade,"252,872",,,,,,
9 May,2018,Bauchi,Birshi,"70,044",,,,,,
9 May,2018,Bauchi,Dan Amar A,"93,495",,,,,,
9 May,2018,Bauchi,Dan Amar B,"109,718",,,,,,
9 May,2018,Bauchi,Dan Dango,"41,780",,,,,,
9 May,2018,Bauchi,Kan Kade,"26,997",,,,,,
9 May,2018,Bauchi,Dan Iya,"147,798",,,,,,
9 May,2018,Bauchi,Dawaki,"72,338",,,,,,
9 May,2018,Bauchi,Hardo,"53,711",,,,,,
9 May,2018,Bauchi,Kangere,"52,200",,,,,,
9 May,2018,Bauchi,Kundun Durum,"58,055",,,,,,
9 May,2018,Bauchi,Makama A,"80,296",,,,,,
9 May,2018,Bauchi,Makama B,"42,546",,,,,,
9 May,2018,Bauchi,Miri,"101,468",,,,,,
9 May,2018,Bauchi,Liman Katagum,"65,498",,,,,,
9 May,2018,Bauchi,Tirwun,"134,350",,,,,,
12 May,2018,Adamawa,,"378,800",,,,,,
25 Jun,2018,Bauchi,Birshi,"35,291",,,,,,
25 Jun,2018,Bauchi,Dan Amar A,"46,945",,,,,,
25 Jun,2018,Bauchi,Dan Amar B,"51,458",,,,,,
25 Jun,2018,Bauchi,Dan Dango,"22,930",,,,,,
25 Jun,2018,Bauchi,Kan Kade,"10,897",,,,,,
25 Jun,2018,Bauchi,Dan Iya,"73,182",,,,,,
25 Jun,2018,Bauchi,Dawaki,"33,600",,,,,,
25 Jun,2018,Bauchi,Hardo,"24,404",,,,,,
25 Jun,2018,Bauchi,Kangere,"26,466",,,,,,
25 Jun,2018,Bauchi,Kundun Durum,"31,469",,,,,,
25 Jun,2018,Bauchi,Makama A,"38,096",,,,,,
25 Jun,2018,Bauchi,Makama B,"21,046",,,,,,
25 Jun,2018,Bauchi,Miri,"55,623",,,,,,
25 Jun,2018,Bauchi,Liman Katagum,"34,113",,,,,,
25 Jun,2018,Bauchi,Tirwun,"59,822",,,,,,
15 Jul,2018,Adamawa,,"378,815",,,,,,
26 Nov,2018,Yobe,Gulani,"68,620",,,,,,
28 Nov,2018,Borno,Jere,"374,782",,,,,,
28 Nov,2018,Borno,Kal-Balge,"51,680",,,,,,
28 Nov,2018,Borno,Maiduguri,"369,418",,,,,,
28 Nov,2018,Borno,Ngala,"138,382",,,,,,
2 Dec,2018,Zamfara,Gummi,"265,860",,,,,,